label,source,toi,tid,target_id,period,depth,duration,kepid
1,TOI_Candidate,1408.02,364186197.0,TIC364186197,2.2222094,87.0,2.461,
1,TOI_Candidate,141.01,403224672.0,TIC403224672,1.0082361,228.0,1.41,
1,TOI_Candidate,1410.01,199444169.0,TIC199444169,1.2168732,1240.0,0.86,
1,TOI_Candidate,1411.01,116483514.0,TIC116483514,1.4520486,393.0,1.339,
1,TOI_Candidate,1413.01,119700084.0,TIC119700084,6.1182129,1805.1895773,0.6671441,
1,TOI_Candidate,1415.01,148782377.0,TIC148782377,14.4204896,1061.4991496,5.1737619,
1,TOI_Candidate,1416.01,158025009.0,TIC158025009,1.0697621,376.0,1.356,
1,TOI_Candidate,1417.01,164173105.0,TIC164173105,3.0726434,10471.4949697,2.2602485,
1,TOI_Candidate,1355.01,372264750.0,TIC372264750,2.1702725,5156.7735359,2.1417853,
1,TOI_Candidate,1356.01,277566483.0,TIC277566483,24.2544697,8802.0,17.486,
1,TOI_Candidate,136.01,410153553.0,TIC410153553,0.4628844,4489.9119215,0.5588219,
1,TOI_Candidate,1361.01,277447970.0,TIC277447970,2.237462,4281.0,2.991,
1,TOI_Candidate,1362.01,395142888.0,TIC395142888,1.9173816,664.0,1.466,
1,TOI_Candidate,1364.01,26880783.0,TIC26880783,1.7753644,878.0,2.034,
1,TOI_Candidate,1446.01,294471966.0,TIC294471966,6.3170657,688.3375977,2.4466954,
1,TOI_Candidate,1446.02,294471966.0,TIC294471966,4.5057387,428.7456455,1.885675,
1,TOI_Candidate,1448.01,343628284.0,TIC343628284,8.0970819,4723.0724376,3.127852,
1,TOI_Candidate,1449.02,356158613.0,TIC356158613,2.3691849,699.3113402,1.6840374,
1,TOI_Candidate,145.01,265612438.0,TIC265612438,5.13002,3376.0,4.78,
1,TOI_Candidate,1450.01,377293776.0,TIC377293776,2.0439268,465.1929875,1.008937,
1,TOI_Candidate,1451.01,417931607.0,TIC417931607,16.5379864,608.0,2.796,
1,TOI_Candidate,1452.01,420112589.0,TIC420112589,11.0619937,3249.1164334,1.7587777,
1,TOI_Candidate,1453.01,198390247.0,TIC198390247,6.5886877,852.0,1.678,
1,TOI_Candidate,1453.02,198390247.0,TIC198390247,4.3135263,274.0,1.874,
1,TOI_Candidate,1454.01,294179385.0,TIC294179385,2.6794168,13578.3447901,2.988801,
1,TOI_Candidate,1456.01,199376584.0,TIC199376584,18.712253,6066.0,6.475,
1,TOI_Candidate,1458.01,191284318.0,TIC191284318,2.7759678,13613.0,3.074,
1,TOI_Candidate,1419.01,311035838.0,TIC311035838,2.8997405,13760.0,1.849,
1,TOI_Candidate,142.01,425934411.0,TIC425934411,0.8533534,25080.3290695,1.2018737,
1,TOI_Candidate,1420.01,321857016.0,TIC321857016,6.9561134,15989.231101,3.3628003,
1,TOI_Candidate,1422.01,333473672.0,TIC333473672,13.001789,1339.5837664,4.4847322,
1,TOI_Candidate,1424.01,418959198.0,TIC418959198,4.8962484,1186.0289925,2.362418,
1,TOI_Candidate,143.01,25375553.0,TIC25375553,2.3109689,6829.4236495,3.4303821,
1,TOI_Candidate,1430.01,293954617.0,TIC293954617,7.4341456,701.0,2.424,
1,TOI_Candidate,1431.01,375506058.0,TIC375506058,2.650232,6449.0,2.03,
1,TOI_Candidate,1432.01,256783784.0,TIC256783784,6.1095756,510.0,2.441,
1,TOI_Candidate,1434.01,138588540.0,TIC138588540,29.871853,712.5668187,4.6960535,
1,TOI_Candidate,1435.01,153976959.0,TIC153976959,0.6858178,148.2277582,1.3936363,
1,TOI_Candidate,1436.01,154383539.0,TIC154383539,0.8675883,321.4840933,1.3814953,
1,TOI_Candidate,1437.01,198356533.0,TIC198356533,18.840891,331.0,5.765,
1,TOI_Candidate,1438.01,229650439.0,TIC229650439,5.1396666,769.5996824,0.8991981,
1,TOI_Candidate,1438.02,229650439.0,TIC229650439,9.4280902,799.0,1.377,
1,TOI_Candidate,1439.01,232982558.0,TIC232982558,27.6438617,560.0,5.321,
1,TOI_Candidate,144.01,261136679.0,TIC261136679,6.267832,321.0,2.789,
1,TOI_Candidate,1440.01,233617847.0,TIC233617847,15.5174519,434.0,5.322,
1,TOI_Candidate,1440.02,233617847.0,TIC233617847,4.6274206,152.4142924,4.6582573,
1,TOI_Candidate,1441.01,233951353.0,TIC233951353,22.092974,435.0,5.813,
1,TOI_Candidate,1442.01,235683377.0,TIC235683377,0.4090681,1281.2294665,0.6165726,
1,TOI_Candidate,1443.01,237232044.0,TIC237232044,23.5407467,956.0,4.025,
